曲名,类别,难度,等级,定数,达成率,DX分数, DX Rating
Love's Theme of BADASS ～バッド・アス 愛のテーマ～,DX,Advanced,8,8.5,100.67,100,191
YONA YONA DANCE,DX,Expert,9,9,100.7684,1377,202
エンヴィーベイビー,DX,Expert,9+,9.7,100.1525,1513,209
初音天地開闢神話,DX,Expert,11,11,100.5767,1831,247
アンハッピーリフレイン,SD,Expert,11+,11.8,100.0315,1459,254
裏表ラバーズ,SD,Expert,12,12.6,100.413,1313,273
幸せになれる隠しコマンドがあるらしい,SD,Expert,12+,12.7,99.8325,1411,267
Armageddon,DX,Expert,12+,12.9,99.8118,2094,271
Calamity Fortune,SD,Expert,12+,12.9,100.78,1664,290
最終鬼畜妹・一部声,SD,Expert,11+,11.9,99.8205,1682,250
Scream out! -maimai SONIC WASHER Edit-,SD,Expert,12+,12.7,99.6658,1966,267
CYBER Sparks,SD,Expert,11+,11.8,100.5202,1473,265
僕の和風本当上手,DX,Expert,12,12,100.3549,1734,260
Cthugha,DX,Expert,12,12.5,100.843,2080,281
Let you DIVE!,DX,Expert,11+,11.7,100.9725,1450,263
竹,DX,Expert,12,12,100.2864,1613,259
プナイプナイせんそう,DX,Expert,11+,11.8,99.7947,1550,248
きたさいたま2000,SD,Expert,13,13.3,100.377,1685,288
Ignis Danse,SD,Expert,13,13,100.0283,1624,280
夜明けまであと３秒,SD,Expert,13,13.1,100.6755,1452,294
Scarlet Lance,SD,Expert,12+,12.9,100.7028,1835,290
スーパーシンメトリー,DX,Expert,12,12,100.2685,1844,259
Grievous Lady,DX,Expert,12,12,100.5714,1941,270
Ether Strike,DX,Expert,10+,10.8,99.4963,1511,223
Cyaegha,DX,Expert,11,11,100.4743,1585,238
Estahv,DX,Expert,11+,11.7,100.8913,1213,263
Mjölnir,DX,Expert,12+,12.7,99.4192,2053,262
Love's Theme of BADASS ～バッド・アス 愛のテーマ～,DX,Expert,13,13,100.5731,2094,292
BATTLE NO.1,DX,Expert,12,12.2,99.4276,2012,252
Big Daddy,DX,Expert,12,12,100.5678,1978,270
LOSE CONTROL,DX,Expert,12,12.4,100.5157,1291,279
Dreadnought,DX,Expert,12,12.5,100.0969,1790,270
Re：End of a Dream,DX,Expert,12,12,100.4116,1690,260
もぺもぺ,DX,Expert,12+,12.8,95.2025,877,204
Sound Chimera,DX,Expert,12,12.5,100.6335,1983,281
emomomo,DX,Expert,10+,10.7,100.4942,1352,232
energy trixxx,DX,Expert,11,11,100.3471,1570,238
NULCTRL,DX,Expert,12,12.6,97.4912,1329,245
End Time,SD,Expert,12+,12.8,100.5467,1504,288
ENERGY SYNERGY MATRIX,SD,Expert,13,13,100.7003,1718,292
FREEDOM DiVE (tpz Overcute Remix),SD,Expert,12+,12.8,100.5038,1846,288
GO BACK 2 YOUR RAVE,SD,Expert,12,12.3,100.7503,1561,276
B.B.K.K.B.K.K.,SD,Expert,12+,12.7,99.6437,1732,267
人里に下ったアタイがいつの間にか社畜になっていた件,SD,Expert,13,13.2,100.8446,1945,297
METATRON,SD,Expert,12+,12.8,100.2745,1568,277
Jack-the-Ripper◆,SD,Expert,12,12.2,100.4094,1597,264
神室雪月花,SD,Expert,12,12.2,100.1584,311,263
パラマウント☆ショータイム！！,DX,Expert,11+,11.7,100.5326,1849,263
前衛的Landscape,DX,Expert,11,11.4,100.5652,1242,256
とびだせ！TO THE COSMIC!!,DX,Expert,12,12.5,100.378,1965,271
Starry Colors,DX,Expert,11,11,100.3209,1380,238
VANTABLACK RAVER,DX,Expert,11,11.1,100.5498,1378,249
BIRTH,DX,Expert,12+,12.8,100.2628,1549,277
Regulus,DX,Expert,12,12.5,100.6514,1685,281
OTOGEMA,DX,Expert,10+,10.7,100.5372,1464,240
FEEL the BEATS,SD,Expert,11,11.6,99.7638,1397,244
Scarlet Wings,DX,Expert,10,10.5,100.782,1390,236
夢花火,SD,Expert,11,11.5,99.2065,1661,237
